Handle,Command,Title,Body HTML,Sort Order,Published,Published Scope,Type,Match Column,Rule: Product Column,Rule: Relation,Rule: Condition
handbags,MERGE,Handbags,<p>Curated handbags from designer maisons.</p>,best-selling,TRUE,global,Smart,all,Tag,is equal to,Handbags
shirts,MERGE,Shirts,<p>Curated shirts from designer maisons.</p>,best-selling,TRUE,global,Smart,all,Tag,is equal to,Shirts
watches,MERGE,Watches,<p>Curated watches from designer maisons.</p>,best-selling,TRUE,global,Smart,all,Tag,is equal to,Watches
shoulder-bags,MERGE,Shoulder Bags,<p>Curated shoulder bags from designer maisons.</p>,best-selling,TRUE,global,Smart,all,Tag,is equal to,Shoulder Bags
suits,MERGE,Suits,<p>Curated suits from designer maisons.</p>,best-selling,TRUE,global,Smart,all,Tag,is equal to,Suits
boots,MERGE,Boots,<p>Curated boots from designer maisons.</p>,best-selling,TRUE,global,Smart,all,Tag,is equal to,Boots
skirts,MERGE,Skirts,<p>Curated skirts from designer maisons.</p>,best-selling,TRUE,global,Smart,all,Tag,is equal to,Skirts
loafers,MERGE,Loafers,<p>Curated loafers from designer maisons.</p>,best-selling,TRUE,global,Smart,all,Tag,is equal to,Loafers
hats,MERGE,Hats,<p>Curated hats from designer maisons.</p>,best-selling,TRUE,global,Smart,all,Tag,is equal to,Hats
swimwear,MERGE,Swimwear,<p>Curated swimwear from designer maisons.</p>,best-selling,TRUE,global,Smart,all,Tag,is equal to,Swimwear
crossbody-bags,MERGE,Crossbody Bags,<p>Curated crossbody bags from designer maisons.</p>,best-selling,TRUE,global,Smart,all,Tag,is equal to,Crossbody Bags
other-accessories,MERGE,Other Accessories,<p>Curated other accessories from designer maisons.</p>,best-selling,TRUE,global,Smart,all,Tag,is equal to,Other Accessories
backpacks,MERGE,Backpacks,<p>Curated backpacks from designer maisons.</p>,best-selling,TRUE,global,Smart,all,Tag,is equal to,Backpacks
clutch-bags,MERGE,Clutch Bags,<p>Curated clutch bags from designer maisons.</p>,best-selling,TRUE,global,Smart,all,Tag,is equal to,Clutch Bags
oxfords-and-derbies,MERGE,Oxfords and Derbies,<p>Curated oxfords and derbies from designer maisons.</p>,best-selling,TRUE,global,Smart,all,Tag,is equal to,Oxfords and Derbies
tote-bags,MERGE,Tote Bags,<p>Curated tote bags from designer maisons.</p>,best-selling,TRUE,global,Smart,all,Tag,is equal to,Tote Bags
gloves,MERGE,Gloves,<p>Curated gloves from designer maisons.</p>,best-selling,TRUE,global,Smart,all,Tag,is equal to,Gloves
sleepwear,MERGE,Sleepwear,<p>Curated sleepwear from designer maisons.</p>,best-selling,TRUE,global,Smart,all,Tag,is equal to,Sleepwear
women,MERGE,Women,"<p>The women collection — curated luxury, delivered worldwide.</p>",best-selling,TRUE,global,Smart,all,Tag,is equal to,Women
men,MERGE,Men,"<p>The men collection — curated luxury, delivered worldwide.</p>",best-selling,TRUE,global,Smart,all,Tag,is equal to,Men
unisex,MERGE,Unisex,"<p>The unisex collection — curated luxury, delivered worldwide.</p>",best-selling,TRUE,global,Smart,all,Tag,is equal to,Unisex
women-bags,MERGE,Women Bags,<p>Women Bags — handpicked from our designer catalog.</p>,best-selling,TRUE,global,Smart,all,Tag,is equal to,Women
women-bags,MERGE,,,,,,,,Type,is equal to,Bags
women-shoes,MERGE,Women Shoes,<p>Women Shoes — handpicked from our designer catalog.</p>,best-selling,TRUE,global,Smart,all,Tag,is equal to,Women
women-shoes,MERGE,,,,,,,,Type,is equal to,Shoes
women-clothing,MERGE,Women Clothing,<p>Women Clothing — handpicked from our designer catalog.</p>,best-selling,TRUE,global,Smart,all,Tag,is equal to,Women
women-clothing,MERGE,,,,,,,,Type,is equal to,Clothing
women-accessories,MERGE,Women Accessories,<p>Women Accessories — handpicked from our designer catalog.</p>,best-selling,TRUE,global,Smart,all,Tag,is equal to,Women
women-accessories,MERGE,,,,,,,,Type,is equal to,Accessories
men-bags,MERGE,Men Bags,<p>Men Bags — handpicked from our designer catalog.</p>,best-selling,TRUE,global,Smart,all,Tag,is equal to,Men
men-bags,MERGE,,,,,,,,Type,is equal to,Bags
men-shoes,MERGE,Men Shoes,<p>Men Shoes — handpicked from our designer catalog.</p>,best-selling,TRUE,global,Smart,all,Tag,is equal to,Men
men-shoes,MERGE,,,,,,,,Type,is equal to,Shoes
men-clothing,MERGE,Men Clothing,<p>Men Clothing — handpicked from our designer catalog.</p>,best-selling,TRUE,global,Smart,all,Tag,is equal to,Men
men-clothing,MERGE,,,,,,,,Type,is equal to,Clothing
men-accessories,MERGE,Men Accessories,<p>Men Accessories — handpicked from our designer catalog.</p>,best-selling,TRUE,global,Smart,all,Tag,is equal to,Men
men-accessories,MERGE,,,,,,,,Type,is equal to,Accessories
in-stock,MERGE,In Stock,<p>Available now — ready to ship.</p>,best-selling,TRUE,global,Smart,all,Variant Inventory,is greater than,0
new-arrivals,MERGE,New Arrivals,<p>The latest additions to the Palace of Roman catalog.</p>,best-selling,TRUE,global,Smart,all,Tag,is equal to,New
