Handle,Command,Title,Body HTML,Sort Order,Published,Published Scope,Type,Match Column,Rule: Product Column,Rule: Relation,Rule: Condition
golden-goose,MERGE,Golden Goose,<p>Discover the Golden Goose collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Golden Goose
marant-etoile,MERGE,Marant Etoile,<p>Discover the Marant Etoile collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Marant Etoile
serengeti,MERGE,Serengeti,<p>Discover the Serengeti collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Serengeti
msgm,MERGE,MSGM,<p>Discover the MSGM collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,MSGM
palm-angels,MERGE,Palm Angels,<p>Discover the Palm Angels collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Palm Angels
plein-sport,MERGE,Plein Sport,<p>Discover the Plein Sport collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Plein Sport
stella-mccartney,MERGE,Stella McCartney,<p>Discover the Stella McCartney collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Stella McCartney
frankie-morello,MERGE,Frankie Morello,<p>Discover the Frankie Morello collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Frankie Morello
louis-vuitton,MERGE,Louis Vuitton,<p>Discover the Louis Vuitton collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Louis Vuitton
