Handle,Command,Title,Body HTML,Sort Order,Published,Published Scope,Type,Match Column,Rule: Product Column,Rule: Relation,Rule: Condition
alemais,MERGE,Alemais,<p>Discover the Alemais collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Alemais
elisabetta-franchi,MERGE,Elisabetta Franchi,<p>Discover the Elisabetta Franchi collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Elisabetta Franchi
benetton,MERGE,Benetton,<p>Discover the Benetton collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Benetton
versace-jeans,MERGE,Versace Jeans,<p>Discover the Versace Jeans collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Versace Jeans
adidas-originals,MERGE,Adidas Originals,<p>Discover the Adidas Originals collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Adidas Originals
aeronautica-militare,MERGE,Aeronautica Militare,<p>Discover the Aeronautica Militare collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Aeronautica Militare
extreme-cashmere,MERGE,Extreme Cashmere,<p>Discover the Extreme Cashmere collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Extreme Cashmere
moose-knuckles,MERGE,Moose Knuckles,<p>Discover the Moose Knuckles collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Moose Knuckles
kenneth-cole,MERGE,Kenneth Cole,<p>Discover the Kenneth Cole collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Kenneth Cole
