Handle,Command,Title,Body HTML,Sort Order,Published,Published Scope,Type,Match Column,Rule: Product Column,Rule: Relation,Rule: Condition
kenzo,MERGE,Kenzo,<p>Discover the Kenzo collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Kenzo
furla,MERGE,Furla,<p>Discover the Furla collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Furla
cerruti-1881,MERGE,Cerruti 1881,<p>Discover the Cerruti 1881 collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Cerruti 1881
alviero-martini-prima-classe,MERGE,Alviero Martini Prima Classe,<p>Discover the Alviero Martini Prima Classe collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Alviero Martini Prima Classe
giorgio-armani,MERGE,Giorgio Armani,<p>Discover the Giorgio Armani collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Giorgio Armani
bobroff,MERGE,Bobroff,<p>Discover the Bobroff collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Bobroff
tory-burch,MERGE,Tory Burch,<p>Discover the Tory Burch collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Tory Burch
harmont-blaine,MERGE,Harmont & Blaine,<p>Discover the Harmont & Blaine collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Harmont & Blaine
roberto-cavalli,MERGE,Roberto Cavalli,<p>Discover the Roberto Cavalli collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Roberto Cavalli
