Handle,Command,Title,Body HTML,Sort Order,Published,Published Scope,Type,Match Column,Rule: Product Column,Rule: Relation,Rule: Condition
m-missoni,MERGE,M Missoni,<p>Discover the M Missoni collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,M Missoni
zimmermann,MERGE,Zimmermann,<p>Discover the Zimmermann collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Zimmermann
vila-clothes,MERGE,Vila Clothes,<p>Discover the Vila Clothes collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Vila Clothes
gaelle-paris,MERGE,Gaelle Paris,<p>Discover the Gaelle Paris collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Gaelle Paris
stuart-weitzman,MERGE,Stuart Weitzman,<p>Discover the Stuart Weitzman collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Stuart Weitzman
y-3,MERGE,Y-3,<p>Discover the Y-3 collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Y-3
premiata,MERGE,Premiata,<p>Discover the Premiata collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Premiata
rinascimento,MERGE,Rinascimento,<p>Discover the Rinascimento collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Rinascimento
fred-perry,MERGE,Fred Perry,<p>Discover the Fred Perry collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Fred Perry
fabiana-filippi,MERGE,Fabiana Filippi,<p>Discover the Fabiana Filippi collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Fabiana Filippi
diadora,MERGE,Diadora,<p>Discover the Diadora collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Diadora
exte,MERGE,Exte,<p>Discover the Exte collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Exte
p-a-r-o-s-h,MERGE,P.A.R.O.S.H.,<p>Discover the P.A.R.O.S.H. collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,P.A.R.O.S.H.
peserico,MERGE,Peserico,<p>Discover the Peserico collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Peserico
cavalli,MERGE,Cavalli,<p>Discover the Cavalli collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Cavalli
