Handle,Command,Title,Body HTML,Sort Order,Published,Published Scope,Type,Match Column,Rule: Product Column,Rule: Relation,Rule: Condition
dolce-gabbana,MERGE,Dolce & Gabbana,<p>Discover the Dolce & Gabbana collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Dolce & Gabbana
brunello-cucinelli,MERGE,Brunello Cucinelli,<p>Discover the Brunello Cucinelli collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Brunello Cucinelli
guess,MERGE,Guess,<p>Discover the Guess collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Guess
calvin-klein,MERGE,Calvin Klein,<p>Discover the Calvin Klein collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Calvin Klein
tommy-hilfiger,MERGE,Tommy Hilfiger,<p>Discover the Tommy Hilfiger collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Tommy Hilfiger
north-sails,MERGE,North Sails,<p>Discover the North Sails collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,North Sails
mario-valentino,MERGE,Mario Valentino,<p>Discover the Mario Valentino collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Mario Valentino
guess-jeans,MERGE,Guess Jeans,<p>Discover the Guess Jeans collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Guess Jeans
norway-1963,MERGE,Norway 1963,<p>Discover the Norway 1963 collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Norway 1963
