Handle,Command,Title,Body HTML,Sort Order,Published,Published Scope,Type,Match Column,Rule: Product Column,Rule: Relation,Rule: Condition
gabriela-hearst,MERGE,Gabriela Hearst,<p>Discover the Gabriela Hearst collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Gabriela Hearst
billionaire-italian-couture,MERGE,Billionaire Italian Couture,<p>Discover the Billionaire Italian Couture collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Billionaire Italian Couture
nicolo-tonetto,MERGE,Nicolo Tonetto,<p>Discover the Nicolo Tonetto collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Nicolo Tonetto
lancaster,MERGE,Lancaster,<p>Discover the Lancaster collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Lancaster
wolford,MERGE,Wolford,<p>Discover the Wolford collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Wolford
colcci,MERGE,Colcci,<p>Discover the Colcci collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Colcci
christian-dior,MERGE,Christian Dior,<p>Discover the Christian Dior collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Christian Dior
timex,MERGE,Timex,<p>Discover the Timex collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Timex
scervino-street,MERGE,Scervino Street,<p>Discover the Scervino Street collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Scervino Street
