Handle,Command,Title,Body HTML,Sort Order,Published,Published Scope,Type,Match Column,Rule: Product Column,Rule: Relation,Rule: Condition
versace-jeans,MERGE,Versace Jeans,<p>Discover the Versace Jeans collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Versace Jeans
adidas-originals,MERGE,Adidas Originals,<p>Discover the Adidas Originals collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Adidas Originals
aeronautica-militare,MERGE,Aeronautica Militare,<p>Discover the Aeronautica Militare collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Aeronautica Militare
extreme-cashmere,MERGE,Extreme Cashmere,<p>Discover the Extreme Cashmere collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Extreme Cashmere
moose-knuckles,MERGE,Moose Knuckles,<p>Discover the Moose Knuckles collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Moose Knuckles
kenneth-cole,MERGE,Kenneth Cole,<p>Discover the Kenneth Cole collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Kenneth Cole
giuseppe-zanotti,MERGE,Giuseppe Zanotti,<p>Discover the Giuseppe Zanotti collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Giuseppe Zanotti
refrigiwear,MERGE,Refrigiwear,<p>Discover the Refrigiwear collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Refrigiwear
b-young,MERGE,B.Young,<p>Discover the B.Young collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,B.Young
pieces,MERGE,Pieces,<p>Discover the Pieces collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Pieces
laneus,MERGE,Laneus,<p>Discover the Laneus collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Laneus
coach,MERGE,COACH,<p>Discover the COACH collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,COACH
saucony,MERGE,Saucony,<p>Discover the Saucony collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Saucony
uominitaliani,MERGE,Uominitaliani,<p>Discover the Uominitaliani collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Uominitaliani
staud,MERGE,Staud,<p>Discover the Staud collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Staud
gabriela-hearst,MERGE,Gabriela Hearst,<p>Discover the Gabriela Hearst collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Gabriela Hearst
billionaire-italian-couture,MERGE,Billionaire Italian Couture,<p>Discover the Billionaire Italian Couture collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Billionaire Italian Couture
nicolo-tonetto,MERGE,Nicolo Tonetto,<p>Discover the Nicolo Tonetto collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Nicolo Tonetto
lancaster,MERGE,Lancaster,<p>Discover the Lancaster collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Lancaster
wolford,MERGE,Wolford,<p>Discover the Wolford collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Wolford
colcci,MERGE,Colcci,<p>Discover the Colcci collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Colcci
