Handle,Command,Title,Body HTML,Sort Order,Published,Published Scope,Type,Match Column,Rule: Product Column,Rule: Relation,Rule: Condition
christian-dior,MERGE,Christian Dior,<p>Discover the Christian Dior collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Christian Dior
timex,MERGE,Timex,<p>Discover the Timex collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Timex
scervino-street,MERGE,Scervino Street,<p>Discover the Scervino Street collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Scervino Street
allude,MERGE,Allude,<p>Discover the Allude collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Allude
brooksfield,MERGE,Brooksfield,<p>Discover the Brooksfield collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Brooksfield
courr-ges,MERGE,Courrèges,<p>Discover the Courrèges collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Courrèges
dkny,MERGE,DKNY,<p>Discover the DKNY collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,DKNY
time-force,MERGE,Time Force,<p>Discover the Time Force collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Time Force
alessandra-rich,MERGE,Alessandra Rich,<p>Discover the Alessandra Rich collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Alessandra Rich
county-of-milan,MERGE,County of Milan,<p>Discover the County of Milan collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,County of Milan
trussardi-beachwear,MERGE,Trussardi Beachwear,<p>Discover the Trussardi Beachwear collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Trussardi Beachwear
os-ree,MERGE,Oséree,<p>Discover the Oséree collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Oséree
santoni,MERGE,Santoni,<p>Discover the Santoni collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Santoni
porsche,MERGE,Porsche,<p>Discover the Porsche collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Porsche
sunflower,MERGE,Sunflower,<p>Discover the Sunflower collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Sunflower
dondup,MERGE,Dondup,<p>Discover the Dondup collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Dondup
cycle,MERGE,CYCLE,<p>Discover the CYCLE collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,CYCLE
bmw-motorsport,MERGE,BMW Motorsport,<p>Discover the BMW Motorsport collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,BMW Motorsport
brioni,MERGE,Brioni,<p>Discover the Brioni collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Brioni
umit-benan,MERGE,Umit Benan,<p>Discover the Umit Benan collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Umit Benan
sandro-ferrone,MERGE,Sandro Ferrone,<p>Discover the Sandro Ferrone collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Sandro Ferrone
christian-lacroix,MERGE,Christian Lacroix,<p>Discover the Christian Lacroix collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Christian Lacroix
casio,MERGE,Casio,<p>Discover the Casio collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Casio
hamaki-ho,MERGE,Hamaki-Ho,<p>Discover the Hamaki-Ho collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Hamaki-Ho
ambush,MERGE,Ambush,<p>Discover the Ambush collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,is equal to,Ambush
clothing,MERGE,Clothing,<p>Shop clothing from the world's most coveted maisons.</p>,best-selling,TRUE,global,Smart,all,Type,is equal to,Clothing
accessories,MERGE,Accessories,<p>Shop accessories from the world's most coveted maisons.</p>,best-selling,TRUE,global,Smart,all,Type,is equal to,Accessories
shoes,MERGE,Shoes,<p>Shop shoes from the world's most coveted maisons.</p>,best-selling,TRUE,global,Smart,all,Type,is equal to,Shoes
bags,MERGE,Bags,<p>Shop bags from the world's most coveted maisons.</p>,best-selling,TRUE,global,Smart,all,Type,is equal to,Bags
