Handle,Command,Title,Body HTML,Sort Order,Published,Published Scope,Type,Match Column,Rule: Product Column,Rule: Relation,Rule: Condition
italia-independent,MERGE,Italia Independent,<p>Discover the Italia Independent collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Italia Independent
burberry,MERGE,Burberry,<p>Discover the Burberry collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Burberry
hugo-boss,MERGE,Hugo Boss,<p>Discover the Hugo Boss collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Hugo Boss
laura-biagiotti,MERGE,Laura Biagiotti,<p>Discover the Laura Biagiotti collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Laura Biagiotti
jimmy-choo,MERGE,Jimmy Choo,<p>Discover the Jimmy Choo collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Jimmy Choo
calvin-klein-jeans,MERGE,Calvin Klein Jeans,<p>Discover the Calvin Klein Jeans collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Calvin Klein Jeans
givenchy,MERGE,Givenchy,<p>Discover the Givenchy collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Givenchy
balenciaga,MERGE,Balenciaga,<p>Discover the Balenciaga collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Balenciaga
timberland,MERGE,Timberland,<p>Discover the Timberland collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Timberland
