Handle,Command,Title,Body HTML,Sort Order,Published,Published Scope,Type,Match Column,Rule: Product Column,Rule: Relation,Rule: Condition
men,MERGE,Men,"<p>The men collection — curated luxury, delivered worldwide.</p>",best-selling,TRUE,global,Smart,all,Tag,Equals,Men
unisex,MERGE,Unisex,"<p>The unisex collection — curated luxury, delivered worldwide.</p>",best-selling,TRUE,global,Smart,all,Tag,Equals,Unisex
women-bags,MERGE,Women Bags,<p>Women Bags — handpicked from our designer catalog.</p>,best-selling,TRUE,global,Smart,all,Tag,Equals,Women
women-bags,MERGE,,,,,,,,Type,Equals,Bags
women-shoes,MERGE,Women Shoes,<p>Women Shoes — handpicked from our designer catalog.</p>,best-selling,TRUE,global,Smart,all,Tag,Equals,Women
women-shoes,MERGE,,,,,,,,Type,Equals,Shoes
women-clothing,MERGE,Women Clothing,<p>Women Clothing — handpicked from our designer catalog.</p>,best-selling,TRUE,global,Smart,all,Tag,Equals,Women
women-clothing,MERGE,,,,,,,,Type,Equals,Clothing
women-accessories,MERGE,Women Accessories,<p>Women Accessories — handpicked from our designer catalog.</p>,best-selling,TRUE,global,Smart,all,Tag,Equals,Women
